Companies,RSI,MACD,Bollinger Band
A,22.81388,Down,Inbetween Bollinger Band
AA,57.18161,UP,Inbetween Bollinger Band
AAC,40.679,UP,Inbetween Bollinger Band
AAN,26.39326,Down,Inbetween Bollinger Band
AAP,40.679,UP,Inbetween Bollinger Band
AAPL,81.143,UP,Inbetween Bollinger Band
AAT,45.52208,Down,Inbetween Bollinger Band
ABM,31.38814,Down,Inbetween Bollinger Band
GOOG,81.143,UP,Inbetween Bollinger Band
MSFT,77.4652,UP,Inbetween Bollinger Band
TSLA,71.27233,UP,Inbetween Bollinger Band
TWTR,87.02218,UP,Inbetween Bollinger Band
